0 4
19 13
64	64	64	64	32	64	64	64	64	64	64	64	64	64	64	64	64	64
64	64	64	64	32	32	32	64	64	64	64	64	64	64	64	64	64	64
64	64	32	32	32	64	32	64	64	64	64	64	64	64	64	64	64	64
64	64	32	64	32	32	32	64	64	64	64	64	64	64	64	64	64	64
64	64	32	32	32	64	64	64	64	64	64	64	64	64	64	64	64	64
64	64	64	64	32	64	32	32	32	32	64	64	64	64	64	64	64	64
64	64	64	64	32	64	32	64	64	32	64	64	64	32	32	32	64	64
64	64	64	64	32	64	32	64	64	32	64	64	64	32	64	32	64	64
64	64	64	64	32	32	32	32	32	32	32	32	32	32	32	32	64	64
64	64	64	64	64	64	64	64	64	32	64	32	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	32	32	32	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
64	64	64	64	64	64	64	64	64	64	64	64	64	32	64	64	64	64
